state,2023_total_ev,2030_total_ev_projected,2030_2w_ev_projected,2030_4w_ev_projected,2w_penetration_2030_%,4w_penetration_2030_%,avg_penetration_2030_%,total_growth_multiple
Tripura,286,958747,958717,30,1738.12,0.4,869.26,3352.26
Uttar Pradesh,44548,4627339,784044,3843295,22.33,683.94,353.14,103.87
Haryana,10088,1735296,8550,1726746,1.4,477.03,239.21,172.02
Goa,9290,324470,319766,4704,429.8,13.65,221.72,34.93
Kerala,70516,1379178,1348946,30232,196.08,11.34,103.71,19.56
Assam,2724,234835,52756,182079,8.31,140.76,74.53,86.21
Chhattisgarh,26264,560415,522701,37714,88.19,50.8,69.5,21.34
Punjab,9533,232196,12106,220090,2.01,111.9,56.96,24.36
Odisha,39688,236462,138325,98137,16.8,91.24,54.02,5.96
Chandigarh,3104,31980,16820,15160,55.09,42.15,48.62,10.3
