rank,state,2023_total_ev,2030_total_ev_projected,2030_2w_ev_projected,2030_4w_ev_projected,2w_penetration_2030_%,4w_penetration_2030_%,avg_penetration_2030_%,total_growth_multiple
1,Haryana,10088,1735296,8550,1726746,1418858452283.89,35.37,709429226159.63,172.02
2,Maharashtra,181523,1999890,1982403,17487,46033.1,58307532944.24,29153789488.67,11.02
3,Punjab,9533,232196,12106,220090,5244957411.23,35.11,2622478723.17,24.36
4,Uttarakhand,6176,15110,13863,1247,9380303.41,1785714.24,5583008.83,2.45
5,Delhi,45699,146091,108559,37532,8535770.78,378015.39,4456893.08,3.2
6,Jharkhand,7852,21948,16699,5249,8879758.98,4111.38,4441935.18,2.8
7,Tamil Nadu,84441,269361,214147,55214,7341111.5,21277.44,3681194.47,3.19
8,Rajasthan,63960,231308,164797,66511,6715128.04,6594.55,3360861.29,3.62
9,Kerala,70516,1379178,1348946,30232,17141.54,1837266.32,927203.93,19.56
10,Odisha,39688,236462,138325,98137,1775397.94,409.63,887903.78,5.96
